KeyName,phone_number,address,locality,corporate_name
Ven1638,(873)775-5650,Address354615,Locality25022,CorporateName495808
Ven1631,(998)686-5210,Address142067,Locality655026,CorporateName960601
Ven1645,(606)884-8528,Address893241,Locality23562,CorporateName291226
Ven1644,(852)823-6573,Address59774,Locality947811,CorporateName230480
Ven1647,(794)447-8556,Address834781,Locality174844,CorporateName41289
Ven1646,(174)525-5641,Address812715,Locality641115,CorporateName143027
Ven1641,(438)657-2610,Address160608,Locality784751,CorporateName224589
Ven1640,(662)412-5735,Address110094,Locality246729,CorporateName793635
Ven1643,(564)543-9731,Address263509,Locality265482,CorporateName100250
Ven1642,(267)541-6970,Address558206,Locality515035,CorporateName219559
Ven1649,(555)674-4271,Address93058,Locality380695,CorporateName349504
Ven1648,(619)518-5806,Address879716,Locality624468,CorporateName26053
Ven1601,(375)695-7763,Address659390,Locality600343,CorporateName604642
Ven1600,(883)759-3426,Address762608,Locality806067,CorporateName925554
Ven1603,(287)859-1879,Address475650,Locality783852,CorporateName206080
Ven1602,(366)428-3661,Address658794,Locality805135,CorporateName528951
Ven1605,(842)449-3397,Address822833,Locality639360,CorporateName483624
Ven1604,(333)449-2984,Address770166,Locality445196,CorporateName933110
Ven1607,(684)960-5092,Address882070,Locality58080,CorporateName554604
Ven1606,(405)102-4762,Address961215,Locality316456,CorporateName608299
Ven1609,(660)259-4349,Address669163,Locality552696,CorporateName401310
Ven1608,(107)854-9405,Address989018,Locality409010,CorporateName460774
Ven1632,(374)650-7760,Address610860,Locality690612,CorporateName817041
Ven1629,(377)896-6495,Address452675,Locality86988,CorporateName934502
Ven1628,(507)404-2243,Address95369,Locality619130,CorporateName13941
Ven1620,(989)316-6191,Address930230,Locality718497,CorporateName739715
Ven1627,(874)676-2936,Address412443,Locality411709,CorporateName496349
Ven1626,(677)238-4345,Address801002,Locality388804,CorporateName479843
Ven1633,(645)891-1286,Address126125,Locality298981,CorporateName568397
Ven1625,(147)352-7598,Address18965,Locality827613,CorporateName311294
Ven1652,(397)236-1641,Address94772,Locality374522,CorporateName261524
Ven1653,(434)559-2341,Address228341,Locality534300,CorporateName566992
Ven1650,(943)173-8878,Address863269,Locality527108,CorporateName903881
Ven1624,(875)188-4395,Address26318,Locality917369,CorporateName982119
Ven1656,(157)679-7730,Address510928,Locality51678,CorporateName55730
Ven1657,(865)642-6689,Address94193,Locality128658,CorporateName392451
Ven1654,(824)584-7780,Address545613,Locality463255,CorporateName182588
Ven1655,(630)742-5955,Address252918,Locality68913,CorporateName816846
Ven1623,(503)826-4892,Address834137,Locality284344,CorporateName830508
Ven1658,(845)124-4303,Address626742,Locality853472,CorporateName414892
Ven1659,(640)569-9539,Address23728,Locality248063,CorporateName342706
Ven1622,(968)232-2436,Address156395,Locality441594,CorporateName128642
Ven1634,(245)957-7180,Address21753,Locality164444,CorporateName420845
Ven1635,(624)397-7689,Address488241,Locality551037,CorporateName8178
Ven1636,(966)930-3335,Address235844,Locality698667,CorporateName258903
Ven1637,(571)630-8168,Address294727,Locality715495,CorporateName24604
Ven1630,(149)408-3019,Address596906,Locality322945,CorporateName92637
Ven1621,(159)270-1362,Address248700,Locality341173,CorporateName888862
Ven1618,(376)545-1182,Address566074,Locality262970,CorporateName775416
Ven1619,(113)237-6521,Address832931,Locality869727,CorporateName118334
Ven1616,(642)278-1259,Address474134,Locality283525,CorporateName129819
Ven1617,(656)389-7695,Address673554,Locality267506,CorporateName232174
Ven1614,(966)530-3345,Address100307,Locality591572,CorporateName681705
Ven1615,(974)740-7849,Address814991,Locality542411,CorporateName956990
Ven1612,(245)346-3249,Address149245,Locality743888,CorporateName982415
Ven1613,(626)119-1459,Address96194,Locality46354,CorporateName36773
Ven1610,(793)202-8454,Address427047,Locality112042,CorporateName175004
Ven1611,(464)677-5428,Address811509,Locality633115,CorporateName103840
Ven1651,(266)955-5093,Address585773,Locality638962,CorporateName908158
Ven1639,(292)483-7278,Address650264,Locality898145,CorporateName292662
