KeyName,phone_number,vendor,locality,longitude,has_shops,address,business_name,lattitude
Loc304758,(985)666-9787,Ven1547,Locality870491,-107.811892866,True,Address733984,BusinessName121478,37.8258327556
Loc304759,(662)661-7562,Ven1547,Locality591867,-102.967678268,True,Address912073,BusinessName616465,38.134984197
Loc304752,(600)721-2189,Ven1547,Locality485935,-104.176370527,True,Address681014,BusinessName77344,37.3340376546
Loc304753,(262)492-4452,Ven1547,Locality805978,-104.310950071,True,Address214080,BusinessName612642,38.9798532068
Loc304750,(424)249-3864,Ven1547,Locality559492,-106.380917609,True,Address707751,BusinessName721850,37.2245572214
Loc304751,(940)398-3407,Ven1547,Locality247368,-101.031438068,True,Address981764,BusinessName582707,39.0349508653
Loc304756,(539)779-5421,Ven1547,Locality421914,-107.176284204,True,Address746310,BusinessName655923,38.4793134499
Loc304757,(803)124-1103,Ven1547,Locality178856,-104.384651334,True,Address350372,BusinessName489840,37.5660428566
Loc304754,(533)532-6075,Ven1547,Locality247905,-107.038623324,True,Address753534,BusinessName907775,39.1139609891
Loc304755,(471)451-6461,Ven1547,Locality433121,-106.327131716,True,Address379607,BusinessName378270,39.8879423453
Loc304769,(207)461-6204,Ven1547,Locality843045,-107.544430467,True,Address244909,BusinessName88393,39.9710889999
Loc304768,(519)650-6490,Ven1547,Locality620714,-104.417616942,True,Address925834,BusinessName91420,36.7958825246
Loc304767,(868)715-8804,Ven1547,Locality654662,-104.283631057,True,Address653759,BusinessName729090,38.7415126208
Loc304766,(487)688-4406,Ven1547,Locality836916,-103.123702608,True,Address481251,BusinessName576446,39.3391414258
Loc304765,(183)500-5201,Ven1547,Locality659718,-107.934872867,True,Address406380,BusinessName422257,36.9763663046
Loc304764,(575)356-3003,Ven1547,Locality796177,-105.890880456,True,Address901897,BusinessName73192,37.3522210653
Loc304763,(234)746-3628,Ven1547,Locality631386,-105.989445829,True,Address568248,BusinessName765395,38.6691784525
Loc304762,(534)904-8899,Ven1547,Locality312273,-101.002189751,True,Address544543,BusinessName390511,39.9931369273
Loc304761,(340)953-3640,Ven1547,Locality902290,-101.215187056,True,Address399740,BusinessName87824,38.4308008766
Loc304760,(818)736-9498,Ven1547,Locality346800,-105.505983085,True,Address489547,BusinessName995654,39.6559988061
Loc304770,(690)369-6954,Ven1547,Locality710636,-101.777152568,True,Address758372,BusinessName432507,39.6623374301
Loc304771,(604)244-1921,Ven1547,Locality896225,-102.77607821,True,Address468209,BusinessName986193,38.5086083226
Loc304772,(659)193-3949,Ven1547,Locality251928,-102.413871045,True,Address612320,BusinessName343209,38.2617886054
Loc304773,(746)928-6124,Ven1547,Locality638023,-105.453590602,True,Address209803,BusinessName874433,38.7859616576
Loc304774,(302)944-7485,Ven1547,Locality411881,-102.577986362,True,Address468449,BusinessName360805,36.8300931197
Loc304775,(655)147-1701,Ven1547,Locality167394,-106.874573798,True,Address772493,BusinessName133754,38.2297004546
Loc304776,(885)516-6831,Ven1547,Locality818424,-106.078873777,True,Address548915,BusinessName817804,38.9046691016
Loc304777,(993)931-4187,Ven1547,Locality489305,-104.715083956,True,Address736488,BusinessName842229,39.395687835
Loc304778,(109)324-8517,Ven1547,Locality8962,-102.524218847,True,Address690266,BusinessName345551,38.6976036859
Loc304779,(387)354-4159,Ven1547,Locality806349,-105.771518197,True,Address855805,BusinessName270694,36.7539864393
Loc304705,(484)444-3506,Ven1547,Locality690003,-105.118975898,True,Address586830,BusinessName392993,36.6836496474
Loc304704,(907)162-3471,Ven1547,Locality841016,-104.423468677,True,Address91042,BusinessName571764,38.5082511725
Loc304707,(652)769-3200,Ven1547,Locality737730,-106.64166198,True,Address694892,BusinessName229843,38.6872749575
Loc304706,(843)559-8789,Ven1547,Locality576775,-107.421561712,True,Address72381,BusinessName550059,38.1757802484
Loc304701,(491)836-1733,Ven1547,Locality122800,-101.133131516,True,Address839028,BusinessName630120,39.7045809176
Loc304700,(388)116-9443,Ven1547,Locality305933,-104.382341191,True,Address354186,BusinessName447665,37.9851131578
Loc304703,(692)121-1379,Ven1547,Locality824259,-104.664903205,True,Address470055,BusinessName329022,37.5090563692
Loc304702,(811)312-4131,Ven1547,Locality521011,-105.083473738,True,Address722715,BusinessName913621,37.9010430067
Loc304709,(987)529-4450,Ven1547,Locality162999,-101.148882625,True,Address448815,BusinessName569711,39.2340484871
Loc304708,(815)941-4600,Ven1547,Locality326229,-106.931600237,True,Address483587,BusinessName124538,38.6503947403
Loc304716,(140)372-6218,Ven1547,Locality683283,-104.084249554,True,Address905013,BusinessName738035,39.1391007454
Loc304717,(836)489-2935,Ven1547,Locality721369,-105.769429008,True,Address25886,BusinessName97163,39.0017400088
Loc304714,(804)384-8392,Ven1547,Locality908393,-105.826594457,True,Address749427,BusinessName860927,38.6709849896
Loc304715,(818)618-4649,Ven1547,Locality836862,-104.279908429,True,Address658382,BusinessName930981,38.8647363835
Loc304712,(497)470-1273,Ven1547,Locality839684,-102.115175153,True,Address829313,BusinessName987671,39.9239455624
Loc304713,(994)542-8260,Ven1547,Locality141496,-105.392398484,True,Address803889,BusinessName772655,39.0695223488
Loc304710,(477)743-5522,Ven1547,Locality140042,-107.30320248,True,Address330426,BusinessName693760,37.1868580308
Loc304711,(679)656-8521,Ven1547,Locality503353,-106.233220023,True,Address177349,BusinessName281165,37.4972398698
Loc304718,(920)166-1748,Ven1547,Locality605719,-102.469853801,True,Address114240,BusinessName345097,38.913179847
Loc304719,(715)293-2154,Ven1547,Locality867077,-101.109834096,True,Address33925,BusinessName305425,39.650557188
Loc304789,(185)714-1975,Ven1547,Locality768271,-102.141306653,True,Address87072,BusinessName604492,38.7782496913
Loc304788,(896)764-3008,Ven1547,Locality551086,-107.808815347,True,Address661876,BusinessName611777,36.8555304657
Loc304785,(426)737-2583,Ven1547,Locality389930,-105.936295103,True,Address829067,BusinessName899358,38.3742444353
Loc304784,(405)611-3376,Ven1547,Locality661825,-106.361080923,True,Address660228,BusinessName930747,36.8058531896
Loc304787,(551)938-9472,Ven1547,Locality139023,-103.585882748,True,Address45779,BusinessName408646,37.9055349065
Loc304786,(390)153-8539,Ven1547,Locality679144,-102.9892601,True,Address361298,BusinessName174535,39.1469110003
Loc304781,(824)727-5092,Ven1547,Locality433737,-103.551004693,True,Address27761,BusinessName254437,38.8033874724
Loc304780,(145)815-1223,Ven1547,Locality948506,-105.52420311,True,Address419062,BusinessName957272,37.7054417309
Loc304783,(877)382-4387,Ven1547,Locality509535,-104.843863155,True,Address500672,BusinessName842135,38.0325074416
Loc304782,(405)148-1447,Ven1547,Locality675274,-105.071606245,True,Address336109,BusinessName686776,37.4434975782
Loc304729,(846)179-7336,Ven1547,Locality549843,-105.553601614,True,Address262120,BusinessName969800,37.5922600439
Loc304728,(482)146-6661,Ven1547,Locality124383,-106.059059805,True,Address40413,BusinessName347664,37.4962123517
Loc304723,(303)926-5278,Ven1547,Locality984375,-101.843465555,True,Address181613,BusinessName292848,37.5556404925
Loc304722,(440)916-9038,Ven1547,Locality774364,-104.11824665,True,Address951377,BusinessName862921,39.7001825745
Loc304721,(860)351-9370,Ven1547,Locality243425,-104.587317443,True,Address125720,BusinessName142526,39.167209293
Loc304720,(811)669-6926,Ven1547,Locality971917,-103.071006408,True,Address41242,BusinessName196787,37.4929578885
Loc304727,(186)875-9144,Ven1547,Locality533257,-107.390947311,True,Address600240,BusinessName173397,38.221384716
Loc304726,(456)210-5945,Ven1547,Locality265775,-104.174600081,True,Address103195,BusinessName996252,38.5890982305
Loc304725,(885)325-4175,Ven1547,Locality790068,-102.250335643,True,Address516324,BusinessName377481,39.5110636944
Loc304724,(910)887-8799,Ven1547,Locality186074,-106.283178158,True,Address574651,BusinessName7507,39.6432522911
Loc304798,(148)421-9160,Ven1547,Locality827313,-102.898165149,True,Address436964,BusinessName439931,39.23412187
Loc304799,(302)814-6487,Ven1547,Locality19776,-105.977815948,True,Address415174,BusinessName316665,36.8740509143
Loc304796,(348)919-5343,Ven1547,Locality571049,-104.334067373,True,Address685419,BusinessName703087,39.9325426708
Loc304797,(709)983-8946,Ven1547,Locality494969,-107.23741482,True,Address729241,BusinessName710408,38.63536342
Loc304794,(587)371-6506,Ven1547,Locality740274,-106.836212608,True,Address592030,BusinessName210200,38.6756009708
Loc304795,(596)162-6218,Ven1547,Locality336208,-107.187563386,True,Address853950,BusinessName166076,38.9017053962
Loc304792,(913)592-5353,Ven1547,Locality915458,-106.445470081,True,Address316784,BusinessName999362,39.5405925325
Loc304793,(502)543-8541,Ven1547,Locality484145,-101.271460789,True,Address943632,BusinessName348428,39.8911415579
Loc304790,(542)125-3139,Ven1547,Locality653762,-104.4896633,True,Address821125,BusinessName55269,39.2124451567
Loc304791,(354)257-5652,Ven1547,Locality608915,-103.127958434,True,Address391001,BusinessName536796,39.2807621264
Loc304738,(338)584-8689,Ven1547,Locality625385,-101.302736829,True,Address230321,BusinessName331378,36.7728983265
Loc304739,(542)796-2471,Ven1547,Locality628485,-101.057934919,True,Address106624,BusinessName749043,38.925803559
Loc304734,(774)188-5453,Ven1547,Locality574450,-105.719758531,True,Address251593,BusinessName797369,37.4273229693
Loc304735,(303)273-4956,Ven1547,Locality406406,-104.653602944,True,Address62311,BusinessName165541,38.1108233465
Loc304736,(838)156-9551,Ven1547,Locality920703,-107.991395651,True,Address801726,BusinessName387206,37.0763230039
Loc304737,(925)805-1282,Ven1547,Locality830462,-102.065201591,True,Address985984,BusinessName540112,38.4905295156
Loc304730,(120)800-9627,Ven1547,Locality70919,-106.300238702,True,Address69337,BusinessName949924,39.5858950133
Loc304731,(898)833-3891,Ven1547,Locality417247,-104.638907571,True,Address514366,BusinessName943928,38.5479798386
Loc304732,(273)829-5646,Ven1547,Locality34291,-103.014153326,True,Address330771,BusinessName523405,39.1202096242
Loc304733,(242)577-3111,Ven1547,Locality60656,-106.037278558,True,Address552026,BusinessName161671,38.8494338922
Loc304749,(807)303-9798,Ven1547,Locality946552,-103.121354306,True,Address376107,BusinessName53602,37.8880883534
Loc304748,(333)919-1312,Ven1547,Locality293858,-104.732271939,True,Address381385,BusinessName788728,37.1770834725
Loc304741,(380)631-1426,Ven1547,Locality322281,-105.286326508,True,Address502949,BusinessName796171,39.4700876578
Loc304740,(176)322-2529,Ven1547,Locality190906,-102.359088899,True,Address314550,BusinessName521260,37.5978082725
Loc304743,(855)947-4721,Ven1547,Locality604254,-106.036393242,True,Address911826,BusinessName325090,37.0436335655
Loc304742,(911)947-8940,Ven1547,Locality269708,-101.480506362,True,Address767483,BusinessName353184,39.9551814855
Loc304745,(188)844-9752,Ven1547,Locality590039,-106.580259301,True,Address767603,BusinessName22435,38.5064546688
Loc304744,(921)799-1855,Ven1547,Locality943757,-103.870197233,True,Address411327,BusinessName82951,39.9461030189
Loc304747,(830)344-5170,Ven1547,Locality555272,-103.689668496,True,Address738151,BusinessName168555,36.7837145888
Loc304746,(242)597-1953,Ven1547,Locality709510,-105.380430171,True,Address264435,BusinessName147600,39.428557116
